player,team1,team2,team,Our Score
AS Yadav,MI,CSK,MI,24
AT Rayudu,MI,CSK,CSK,29
DL Chahar,MI,CSK,CSK,22
F du Plessis,MI,CSK,CSK,32
HH Pandya,MI,CSK,MI,33
JJ Bumrah,MI,CSK,MI,27
JL Pattinson,MI,CSK,MI,26
KA Pollard,MI,CSK,MI,34
KH Pandya,MI,CSK,MI,28
L Ngidi,MI,CSK,CSK,25
M Vijay,MI,CSK,CSK,29
MK Pandey,MI,CSK,SRH,29
MS Dhoni,MI,CSK,CSK,33
PP Chawla,MI,CSK,CSK,28
Q de Kock,MI,CSK,MI,37
RA Jadeja,MI,CSK,CSK,31
RD Chahar,MI,CSK,MI,26
RG Sharma,MI,CSK,MI,38
S Curran,MI,CSK,CSK,29
SR Watson,MI,CSK,CSK,51
SS Tiwary,MI,CSK,MI,24
TA Boult,MI,CSK,MI,23
AR Patel,DC,KXIP,DC,33
Ankit Sharma,DC,KXIP,DC,16
Anrich Nortje,DC,KXIP,DC,16
CJ Jordan,DC,KXIP,KXIP,28
Cottrell,DC,KXIP,KXIP,35
GJ Maxwell,DC,KXIP,KXIP,36
K Gowtham,DC,KXIP,KXIP,30
K Rabada,DC,KXIP,DC,27
KK Nair,DC,KXIP,KXIP,32
KL Rahul,DC,KXIP,KXIP,47
MA Agarwal,DC,KXIP,KXIP,25
MP Stoinis,DC,KXIP,DC,37
Mohammed Shami,DC,KXIP,KXIP,26
N Pooran,DC,KXIP,KXIP,41
P Shaw,DC,KXIP,DC,27
R Ashwin,DC,KXIP,DC,25
RR Pant,DC,KXIP,DC,41
Ravi Bishnoi,DC,KXIP,KXIP,31
S Dhawan,DC,KXIP,DC,37
S Hetmyer,DC,KXIP,DC,33
SN Khan,DC,KXIP,KXIP,25
SS Iyer,DC,KXIP,DC,38
nan,DC,KXIP,MI,29
AJ Finch,KKR,RCB,RCB,31
CH Morris,KKR,RCB,RCB,34
CV Varun,KKR,RCB,KKR,34
D Padikkal,KKR,RCB,RCB,26
EJG Morgan,KKR,RCB,KKR,31
Gurkeerat Singh,KKR,RCB,RCB,17
I Udana,KKR,RCB,RCB,20
KD Karthik,KKR,RCB,KKR,30
Kuldeep Yadav,KKR,RCB,KKR,24
L Ferguson,KKR,RCB,KKR,25
Mohammed Siraj,KKR,RCB,RCB,25
N Rana,KKR,RCB,KKR,40
N Saini,KKR,RCB,RCB,26
PJ Cummins,KKR,RCB,KKR,29
Prasidh Krishna,KKR,RCB,KKR,19
RA Tripathi,KKR,RCB,KKR,29
Shubman Gill,KKR,RCB,KKR,34
T Banton,KKR,RCB,KKR,26
V Kohli,KKR,RCB,RCB,41
Washington Sundar,KKR,RCB,RCB,23
YS Chahal,KKR,RCB,RCB,28
DA Warner,SRH,MI,SRH,51
DS Kulkarni,SRH,MI,SRH,23
